Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2005;100.0
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2006;101.3
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2007;103.2
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2008;96.9
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2009;97.6
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2010;100.1
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2011;100.4
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2012;100.7
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2013;100.6
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2014;103.4
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2015;103.7
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2016;105.4
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2017;105.8
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2018;105.9
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2019;106.2
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2020;104.3
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2021;113.5
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Agglomérés;Agglomérés;2022;123.7
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2005;100.0
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2006;101.3
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2007;102.6
RABAT;Plomberie - Sanitaire;Articles et produits sanitaires;Baignoire;Baignoire;2008;91.9
