Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Kénitra;Appartement standing;MT;2011;2899;133
Kénitra;Appartement standing;MT;2012;2954;136
Kénitra;Appartement standing;MT;2013;3006;138
Kénitra;Appartement standing;MT;2014;3066;141
Kénitra;Appartement standing;MT;2015;3099;143
Kénitra;Appartement standing;MT;2016;3275;151
Kénitra;Appartement standing;MT;2017;3375;155
Kénitra;Appartement standing;MT;2018;3450;159
Kénitra;Appartement standing;MT;2019;3540;163
Kénitra;Appartement standing;MT;2020;3493;161
Kénitra;Appartement standing;MT;2021;3516;162
Kénitra;Appartement standing;MT;2022;3622;167
Kénitra;Appartement standing;PT;2001;1458;100
Kénitra;Appartement standing;PT;2002;1588;109
Kénitra;Appartement standing;PT;2003;1584;109
Kénitra;Appartement standing;PT;2004;1667;114
