Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Es-Semara;Appartement économique;GT;2014;1271;174
Es-Semara;Appartement économique;GT;2015;1292;177
Es-Semara;Appartement économique;GT;2016;1324;181
Es-Semara;Appartement économique;GT;2017;1339;183
Es-Semara;Appartement économique;GT;2018;1352;185
Es-Semara;Appartement économique;GT;2019;1414;194
Es-Semara;Appartement économique;GT;2020;1415;194
Es-Semara;Appartement économique;GT;2021;1450;199
Es-Semara;Appartement économique;GT;2022;1507;206
Es-Semara;Appartement économique;MT;2001;574;100
Es-Semara;Appartement économique;MT;2002;613;107
Es-Semara;Appartement économique;MT;2003;647;113
Es-Semara;Appartement économique;MT;2004;680;118
Es-Semara;Appartement économique;MT;2005;713;124
Es-Semara;Appartement économique;MT;2006;746;130
Es-Semara;Appartement économique;MT;2007;779;136
Es-Semara;Appartement économique;MT;2008;811;141
Es-Semara;Appartement économique;MT;2009;844;147
Es-Semara;Appartement économique;MT;2010;876;153
Es-Semara;Appartement économique;MT;2011;909;158
Es-Semara;Appartement économique;MT;2012;972;169
Es-Semara;Appartement économique;MT;2013;1001;174
Es-Semara;Appartement économique;MT;2014;1051;183
Es-Semara;Appartement économique;MT;2015;1082;188
Es-Semara;Appartement économique;MT;2016;1101;192
Es-Semara;Appartement économique;MT;2017;1117;195
Es-Semara;Appartement économique;MT;2018;1136;198
Es-Semara;Appartement économique;MT;2019;1200;209
Es-Semara;Appartement économique;MT;2020;1205;210
Es-Semara;Appartement économique;MT;2021;1250;218
Es-Semara;Appartement économique;MT;2022;1300;226
Es-Semara;Appartement économique;PT;2001;381;100
Es-Semara;Appartement économique;PT;2002;401;105
Es-Semara;Appartement économique;PT;2003;431;113
Es-Semara;Appartement économique;PT;2004;461;121
Es-Semara;Appartement économique;PT;2005;491;129
Es-Semara;Appartement économique;PT;2006;518;136
Es-Semara;Appartement économique;PT;2007;541;142
Es-Semara;Appartement économique;PT;2008;565;148
Es-Semara;Appartement économique;PT;2009;591;155
Es-Semara;Appartement économique;PT;2010;615;161
Es-Semara;Appartement économique;PT;2011;642;169
Es-Semara;Appartement économique;PT;2012;687;180
Es-Semara;Appartement économique;PT;2013;716;188
Es-Semara;Appartement économique;PT;2014;742;195
Es-Semara;Appartement économique;PT;2015;758;199
Es-Semara;Appartement économique;PT;2016;770;202
Es-Semara;Appartement économique;PT;2017;788;207
Es-Semara;Appartement économique;PT;2018;804;211
Es-Semara;Appartement économique;PT;2019;831;218
Es-Semara;Appartement économique;PT;2020;832;218
