Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Berkane;Maison sur lot économique;PT;2014;888;134
Berkane;Maison sur lot économique;PT;2015;914;138
Berkane;Maison sur lot économique;PT;2016;937;142
Berkane;Maison sur lot économique;PT;2017;979;148
Berkane;Maison sur lot économique;PT;2018;1002;152
Berkane;Maison sur lot économique;PT;2019;1040;157
Berkane;Maison sur lot économique;PT;2020;1025;155
Berkane;Maison sur lot économique;PT;2021;1063;161
Berkane;Maison sur lot économique;PT;2022;1111;168
Berkane;Total ville;MLE;2001;1187;100
Berkane;Total ville;MLE;2002;1229;104
Berkane;Total ville;MLE;2003;1264;107
Berkane;Total ville;MLE;2004;1292;110
Berkane;Total ville;MLE;2005;1328;113
Berkane;Total ville;MLE;2006;1352;116
Berkane;Total ville;MLE;2007;1402;120
Berkane;Total ville;MLE;2008;1457;125
Berkane;Total ville;MLE;2009;1510;130
Berkane;Total ville;MLE;2010;1559;134
Berkane;Total ville;MLE;2011;1584;137
Berkane;Total ville;MLE;2012;1616;140
Berkane;Total ville;MLE;2013;1639;142
Berkane;Total ville;MLE;2014;1655;143
Berkane;Total ville;MLE;2015;1559;152
Berkane;Total ville;MLE;2016;1599;156
Berkane;Total ville;MLE;2017;1675;164
Berkane;Total ville;MLE;2018;1702;167
Berkane;Total ville;MLE;2019;1719;169
Berkane;Total ville;MLE;2020;1702;167
Berkane;Total ville;MLE;2021;1749;172
Berkane;Total ville;MLE;2022;1805;178
