Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Errachidia;Total ville;MLE;2011;558;109
Errachidia;Total ville;MLE;2012;563;110
Errachidia;Total ville;MLE;2013;577;112
Errachidia;Total ville;MLE;2014;591;115
Errachidia;Total ville;MLE;2015;544;118
Errachidia;Total ville;MLE;2016;555;120
Errachidia;Total ville;MLE;2017;573;124
Errachidia;Total ville;MLE;2018;590;128
Errachidia;Total ville;MLE;2019;616;134
Errachidia;Total ville;MLE;2020;590;128
Errachidia;Total ville;MLE;2021;619;134
Errachidia;Total ville;MLE;2022;633;137
Errachidia;Villa;GT;2001;1620;100
Errachidia;Villa;GT;2002;1649;102
Errachidia;Villa;GT;2003;1697;105
Errachidia;Villa;GT;2004;1744;108
Errachidia;Villa;GT;2005;1792;111
Errachidia;Villa;GT;2006;1841;114
Errachidia;Villa;GT;2007;1889;117
Errachidia;Villa;GT;2008;1938;120
Errachidia;Villa;GT;2009;1987;123
Errachidia;Villa;GT;2010;2036;126
Errachidia;Villa;GT;2011;2086;129
Errachidia;Villa;GT;2012;2136;132
Errachidia;Villa;GT;2013;2200;136
Errachidia;Villa;GT;2014;2265;140
Errachidia;Villa;GT;2015;2331;144
Errachidia;Villa;GT;2016;2391;148
Errachidia;Villa;GT;2017;2474;153
Errachidia;Villa;GT;2018;2538;157
Errachidia;Villa;GT;2019;2583;159
Errachidia;Villa;GT;2020;2432;150
Errachidia;Villa;GT;2021;2611;161
